Time,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
22:11:39,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:39,2,0.99,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,96.04
22:11:39,3,1.96,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,95.10
22:11:39,4,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
22:11:39,5,2.97,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,95.05
22:11:39,6,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.99
22:11:39,7,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:40,all,1.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,98.88
22:11:40,0,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.08
22:11:40,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:40,3,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.02
22:11:40,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:40,5,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:40,6,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:40,7,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
