time,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl
24-09 23:10:10,0,1,99,0,0,2,1,97,0,0,0,0,100,0,0,0,1,99,0,0,0,1,99,0,0
24-09 23:10:11,1,0,99,0,0,1,1,98,0,0,0,2,98,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:10:12,2,0,98,0,0,0,0,100,0,0,2,1,97,0,0,0,0,100,0,0,2,0,98,0,0
24-09 23:10:13,1,0,99,0,0,1,0,99,0,0,0,1,99,0,0,0,0,100,0,0,0,0,99,0,0
24-09 23:10:14,0,2,98,0,0,4,1,95,0,0,0,1,99,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:10:15,1,0,99,0,0,1,0,98,1,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0
24-09 23:10:16,1,1,98,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:10:17,3,0,97,0,0,2,0,98,0,0,0,1,99,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:10:18,2,1,97,0,0,1,2,97,0,0,1,2,97,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:10:19,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
24-09 23:10:20,1,1,98,0,0,1,0,99,0,0,0,1,99,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:10:21,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
24-09 23:10:22,3,1,96,0,0,2,1,97,0,0,0,1,99,0,0,0,0,100,0,0,1,1,99,0,0
24-09 23:10:23,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,1,1,98,0,0,1,0,99,0,0
24-09 23:10:24,1,2,97,0,0,1,2,97,0,0,1,1,98,0,0,0,1,99,0,0,1,1,98,0,0
24-09 23:10:25,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0
24-09 23:10:26,1,1,98,0,0,0,1,99,0,0,1,0,99,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:10:27,2,0,98,0,0,1,0,99,0,0,0,0,100,0,0,2,1,97,0,0,1,0,99,0,0
24-09 23:10:28,0,2,98,0,0,0,1,98,1,0,1,0,99,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:10:29,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0
24-09 23:10:30,1,1,98,0,0,1,0,99,0,0,2,1,97,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:10:31,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0,0,2,98,0,0,0,1,99,0,0
24-09 23:10:32,2,1,97,0,0,1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:10:33,2,1,97,0,0,1,1,98,0,0,1,2,97,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:10:34,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,0,0,99,0,0
